13:10-13:30;Connection setup: we will provide details;;
13:30-13:50;Introduction;Chengzhi Zhang et al.;
13:50-14:30;Keynote 1;Min Song;Chair: tbd
;Session 1;;Chair: tbd
14:30-14:50;FP 1;tbd;
14:50-15:10;FP 2;tbd;
15:10-15:30;Coffee break;;
;Session 2;;Chair: tbd
15:30-15:50;FP 3;tbd;
15:50-16:05;SP 1;tbd;
16:05-16:20;SP 2;tbd;
16:20-16:35;SP 3;tbd;
16:35-17:00;Interactive demos;;Chair: tbd
17:00-17:30;Coffee break;;
17:30-18:10;Keynote 2;Markus Stocker;Chair: Philipp Mayr
;Session 3;;Chair: tbd
18:10-18:25;SP 4;tbd;
18:25-19:00;tbd;;
19:00-20:00;tbd;;
20:00-21:00;Welcoming JCDL;;
21:10-22:40;Keynote JCDL;;
23:00-0:30;Last session of EEKE: End + Greeting Notes;Posters?;Chair: tbd
